timestamp_utc,density_mass_g_cm3,pump_press_a_mpa,pump_press_b_mpa,pump_rate_all_m3_min,pump_total_all_m3,water_rate_m3_min
2025-08-14T01:08:41.453000,-0.001989,2.634386,0,0,4315.092,0.435722
2025-08-14T01:08:46.464000,-0.001989,2.641647,0,0,4315.092,0.504308
2025-08-14T01:08:51.562000,-0.00217,2.645115,0,0,4315.092,0.504308
2025-08-14T01:08:56.573000,-0.001989,2.651294,0,0,4315.092,0.504308
2025-08-14T01:09:01.670000,-0.00217,2.653736,0,0,4315.092,0.504308
2025-08-14T01:09:06.682000,-0.001989,2.653042,0,0,4315.092,0.504308
2025-08-14T01:09:11.779000,-0.00217,2.655324,0,0,4315.092,0.504308
2025-08-14T01:09:16.790000,-0.000181,2.660598,0,0,4315.092,0.37924
2025-08-14T01:09:21.888000,-0.001989,2.666639,0,0,4315.092,0
2025-08-14T01:09:26.899000,0.899703,2.672896,0,0,4315.092,0
2025-08-14T01:09:31.997000,1.034975,2.684776,0,0,4315.092,0
2025-08-14T01:09:37.008000,1.101526,2.680813,0,0,4315.092,0
2025-08-14T01:09:47.117000,1.22848,2.691575,0,0,4315.092,0
2025-08-14T01:09:52.214000,1.261574,2.689301,0,0,4315.092,0
2025-08-14T01:09:57.226000,1.318902,2.696102,0,0,4315.092,0
2025-08-14T01:10:02.237000,1.342773,2.691092,0,0,4315.092,0
2025-08-14T01:10:07.334000,1.382559,3.249853,0,0,4315.092,0
2025-08-14T01:10:12.346000,1.411314,3.895112,0,0,4315.092,0
2025-08-14T01:10:17.443000,1.442057,5.725095,0,0,4315.092,0
2025-08-14T01:10:22.454000,1.473163,6.833449,0,0,4315.092,0
2025-08-14T01:10:27.552000,1.500108,6.749461,0,0,4315.092,0
2025-08-14T01:10:32.563000,1.526331,6.759803,0,0,4315.092,0
2025-08-14T01:10:37.661000,1.55183,6.785848,0,0,4315.092,0
2025-08-14T01:10:42.672000,1.563585,6.854118,0,0,4315.092,0
2025-08-14T01:10:47.770000,1.584382,7.896289,0,0,4315.092,0.463963
2025-08-14T01:10:52.781000,1.582031,7.961255,0,0.48867,4315.124,0.375205
2025-08-14T01:10:57.878000,1.577691,9.189162,0,0.556332,4315.167,0.367136
2025-08-14T01:11:02.890000,1.57534,9.318767,0,0.556332,4315.213,0.367136
2025-08-14T01:11:07.987000,1.588361,9.288212,0,0.556332,4315.259,0.371171
2025-08-14T01:11:12.998000,1.595052,9.368285,0,0.556332,4315.306,0.367136
2025-08-14T01:11:18.096000,1.59252,9.415945,0,0.556332,4315.352,0.367136
2025-08-14T01:11:23.107000,1.596499,9.52874,0,0.578886,4315.399,0.359067
2025-08-14T01:11:28.205000,1.598307,9.515713,0,0.578886,4315.448,0.326792
2025-08-14T01:11:33.216000,1.596137,9.656812,0,0.578886,4315.506,0.326792
2025-08-14T01:11:38.314000,1.604275,9.583534,0,0.578886,4315.555,0.322757
2025-08-14T01:11:43.325000,1.603733,9.819565,0,0.578886,4315.604,0.326792
2025-08-14T01:11:48.422000,1.614041,9.870943,0,0.578886,4315.653,0.326792
2025-08-14T01:11:53.434000,1.611509,9.897743,0,0.578886,4315.702,0.326792
