well_id,md_m,inclination_deg,azimuth_deg,tvd_m,data_type,source_file,source_location,confidence,notes
ht1_001,5660,0.32,103.72,5660,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5690,0.22,158.23,5690,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5720,0.47,174.19,5720,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5750,0.31,192.49,5750,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5780,0.42,205.67,5780,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5810,0.61,176.62,5810,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5840,0.55,172.11,5840,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5870,0.67,175.76,5870,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5900,0.79,198.89,5900,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5930,0.48,204.21,5930,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5960,0.66,172.55,5960,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,5990,0.81,195.34,5990,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6020,0.64,198.09,6020,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6050,0.37,159.33,6050,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6080,0.42,126.33,6080,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6110,0.32,107.42,6110,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6140,0.25,116.47,6140,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6170,0.2,238.13,6170,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6200,0.15,150.62,6200,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6230,0.2,141.36,6230,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6260,0.37,131.9,6260,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6290,0.38,133.82,6290,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
ht1_001,6320,0.54,137.65,6320,measured,施工设计/section 1.4.1,30m间隔测斜数据,high,最大井斜=1.7665度@7665m;近似直井
