timestamp,pump_press_B_MPa,pump_press_A_MPa,density_g_cm3,total_vol,rate_m3_min,event
2025-07-05 15:28:23.981000,18.44998,19.12899,1.01237,0,0,停止
2025-07-05 15:29:14.438000,18.62755,19.13054,1.453631,0,0,
2025-07-05 15:30:04.982000,19.05843,19.1559,1.890733,0,0,
2025-07-05 15:30:55.526000,16.56602,16.40106,2.084961,0,0,
2025-07-05 15:31:45.984000,13.69005,13.74134,2.077546,0,0,
2025-07-05 15:32:36.528000,10.34128,10.29317,2.075557,0,0,
2025-07-05 15:33:27.072000,10.13504,10.01666,2.040292,0,0,
2025-07-05 15:34:17.616000,10.03201,9.886392,2.055302,0,0,
2025-07-05 15:35:08.074000,10.07747,9.999838,2.027814,0.02830193,0.1388106,水泥浆
2025-07-05 15:35:58.618000,9.273461,9.166567,2.055121,0.03832714,0,停止
2025-07-05 15:36:49.162000,9.174004,8.9919,2.047526,0.03832714,0,
2025-07-05 15:37:39.619000,8.800881,8.953257,2.045898,0.03832714,0,
2025-07-05 15:38:30.163000,12.04111,11.92494,2.031612,0.1016402,0.3192643,水泥浆
2025-07-05 15:39:20.707000,15.44965,15.54482,2.223307,0.4151978,0.5876315,
2025-07-05 15:40:11.165000,20.0097,20.0016,2.082067,1.03076,0.8092563,
2025-07-05 15:41:01.709000,11.2704,11.32905,2.013346,1.215445,0.1249295,
2025-07-05 15:41:52.253000,17.9302,18.15896,2.093099,1.466155,0.7888596,
2025-07-05 15:42:42.797000,20.7041,20.88225,2.077004,2.149433,0.8041571,
2025-07-05 15:43:33.254000,20.86091,21.13805,2.082248,2.819568,0.8041571,
2025-07-05 15:44:23.798000,20.96562,21.08356,2.071579,3.503106,0.8041571,
2025-07-05 15:45:14.342000,20.99352,21.32649,2.072844,4.173238,0.8041571,
2025-07-05 15:46:04.886000,21.1393,21.3855,2.079716,4.856763,0.8041571,
2025-07-05 15:46:55.344000,21.10158,21.47502,2.074291,5.526886,0.8041571,
2025-07-05 15:47:45.888000,21.35823,21.5652,2.060547,6.210412,0.8041571,
2025-07-05 15:48:36.432000,21.40649,21.75839,2.091833,6.893938,0.8041571,
2025-07-05 15:49:26.976000,21.64336,21.87666,2.073025,7.564061,0.8041571,
2025-07-05 15:50:17.434000,21.79852,22.07489,2.094727,8.247595,0.8041571,
2025-07-05 15:51:07.978000,21.93474,22.32677,2.083695,8.917742,0.8041571,
2025-07-05 15:51:58.522000,21.86435,22.33148,2.083695,9.601292,0.8041571,
2025-07-05 15:52:49.066000,22.1171,22.45374,2.098343,10.27144,0.8041571,
2025-07-05 15:53:39.610000,22.20534,22.55459,2.088216,10.95499,0.8041571,
2025-07-05 15:54:30.067000,22.40787,22.80102,2.099428,11.62514,0.8041571,
2025-07-05 15:55:20.611000,22.52534,22.85683,2.093642,12.30869,0.8041571,
2025-07-05 15:56:16.166000,22.70047,23.04473,2.089301,13.04585,0.8041571,
2025-07-05 15:57:06.710000,15.67584,15.83692,2.099609,13.61658,0.3146373,
2025-07-05 15:57:57.254000,11.6538,11.83404,0.1139323,13.76935,0.1388106,循环
2025-07-05 15:58:47.712000,11.86207,12.09261,0.03924334,13.88735,0.1388106,
2025-07-05 15:59:38.256000,11.87915,12.07605,0.03399884,14.00303,0.1388106,
2025-07-05 16:00:28.973000,11.01095,11.08477,0.03200955,14.12102,0.1156755,
2025-07-05 16:01:19.430000,9.798887,9.86911,0.03146701,14.12441,0,停止
2025-07-05 16:02:09.974000,9.402721,9.661961,0.03056279,14.12441,0,
2025-07-05 16:03:00.518000,9.326357,9.573428,0.03038194,0,0,
2025-07-05 16:03:51.062000,9.395407,9.52608,1.318721,0,0,
2025-07-05 16:04:41.520000,9.353565,9.489789,1.784035,0,0,
2025-07-05 16:05:32.064000,16.68478,16.95326,1.973018,0.1136153,0.5579808,水泥浆
2025-07-05 16:06:22.608000,21.81338,22.17927,1.970305,0.6979201,0.8027407,
2025-07-05 16:07:13.066000,22.79997,23.15957,1.996166,1.380249,0.8027407,
2025-07-05 16:08:03.610000,23.04994,23.39771,1.96705,2.049199,0.8027407,
2025-07-05 16:08:54.154000,23.19228,23.56897,1.960178,2.731533,0.8027407,
2025-07-05 16:09:44.698000,23.4663,23.7918,1.953848,3.400487,0.8027407,
2025-07-05 16:10:35.155000,23.43632,23.87438,1.966327,4.082821,0.8027407,
2025-07-05 16:11:25.699000,23.6435,23.98422,1.946615,4.751776,0.8027407,
2025-07-05 16:12:16.243000,23.81415,24.2562,1.961263,5.43411,0.8027407,
