well_id,fluid_name,temperature_c,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,source_file,source_location,confidence,notes
ht1_002,钻井液,133,133,75,54,31,6,4,化验报告 Table7,化验报告 Table7,high,油基钻井液; 密度2.06; 133→93℃
ht1_002,驱油隔离液,133,114,80,66,43,10,6,化验报告 Table7,化验报告 Table7,high,隔离液2.05g/cm3
ht1_002,领浆(2.10),133,>300,268,194,113,10,7,化验报告 Table7,化验报告 Table7,high,领浆2.10g/cm3; 600超量程
ht1_002,中间浆(1.95),133,>300,221,165,92,7,4,化验报告 Table7,化验报告 Table7,high,中间浆1.95g/cm3
ht1_002,尾浆(1.95),133,>300,218,163,88,6,4,化验报告 Table7,化验报告 Table7,high,尾浆1.95g/cm3
ht1_002,回接_钻井液,94,106,59,43,24,5,4,回接化验报告 Table7,回接化验报告 Table7,high,油基钻井液 94℃
ht1_002,回接_驱油隔离液,94,95,53,33,21,4,3,回接化验报告 Table7,回接化验报告 Table7,high,隔离液2.00g/cm3
ht1_002,回接_领浆(2.05),94,>300,259,187,106,9,7,回接化验报告 Table7,回接化验报告 Table7,high,领浆2.05g/cm3
ht1_002,回接_中间浆(1.90),94,>300,202,151,83,6,4,回接化验报告 Table7,回接化验报告 Table7,high,中间浆1.90g/cm3
ht1_002,回接_尾浆(1.90),94,>300,210,155,84,7,4,回接化验报告 Table7,回接化验报告 Table7,high,尾浆1.90g/cm3
