well_id,interval_name,top_md_m,bottom_md_m,purpose,source_file,source_location,data_type,confidence,notes
ht1_002,白垩系清水河组(K1q),5702,6826.9,目的层,施工设计 Table0/para,施工设计 1.1节/2.1节,field_measured,high,目的层之一; 钻井液密度分段: 6764m处2.14-2.07g/cm3
ht1_002,侏罗系喀拉扎组(J3k2),6826.9,7559,目的层,施工设计 Table0,施工设计 1.1节,field_measured,high,目的层之一; 钻井液密度: 7559m处2.00-2.04g/cm3
ht1_002,高压水层,5998,6002,水层/压稳关注点,施工设计 5.1节/P141,施工设计 5.1节,field_measured,high,地层压力系数2.147; 排水降压后2.05-2.11; 压稳当量2.14
ht1_002,油气显示层,7402,7500,油气层,施工记录表 R3,施工记录表,field_measured,high,"施工记录表标注油气层顶深7402m, 底深7500m"
ht1_002,后效显示层,7402,7446,后效显示,施工设计 Table14,施工设计 2.4节,field_measured,high,全烃31.85%; 上窜速度22.14m/h
ht1_002,连木沁组(K1l),5292.5,5960,地质分层,施工设计 Table6,施工设计 1.3.3节,field_measured,medium,钻井液密度2.05-2.08g/cm3
ht1_002,胜金口组,5960,6092,地质分层,施工设计 Table6,施工设计 1.3.3节,field_measured,medium,钻井液密度2.14g/cm3
ht1_002,呼图壁河组,6092,6764,地质分层,施工设计 Table6,施工设计 1.3.3节,field_measured,medium,钻井液密度2.14-2.07g/cm3
ht1_002,领浆封固段,5068,5796,水泥封固,施工设计 4.2/5.1节,施工设计 4.2/5.1节,design,high,领浆密度2.10; 封固5292.5-5796m; 附加超返至5068m
ht1_002,中间浆封固段,5796,6739,水泥封固,施工设计 5.1节,施工设计 5.1节,design,high,中间浆密度1.95; 封固5796-6739m
ht1_002,尾浆封固段,6739,7554,水泥封固,施工设计 5.1节,施工设计 5.1节,design,high,尾浆密度1.95; 封固6739-7554m
ht1_002,地破试验层,5702,5702,地破试验,施工设计 3.1节,施工设计 3.1节,field_measured,high,钻井液2.05; 表压18.72MPa(已破); 漏失当量2.38
