well_id,md_m,amp_pct,quality_class,data_type,source_description,confidence,notes
ht1_003,15.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
ht1_003,16.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
ht1_003,17.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,18.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,19.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,20.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,21.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,22.0,,中等,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面中等;二界面不评价(多层套管)
ht1_003,23.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
ht1_003,24.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
ht1_003,25.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
ht1_003,26.0,,良好,interpreted,HT1-003_固井质量测井评价图(15-3500/3500-7595) 图头+一界面解释填充(矢量LEAD5.0) 20260622 完井,medium,一界面良好;二界面不评价(多层套管)
