well_id,md_m,inclination_deg,azimuth_deg,tvd_m,data_type,source_description,confidence,notes
ht1_003,5560,0.15017,146.9112,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=127.0209C
ht1_003,5590,0.14851,65.32919,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=127.502C
ht1_003,5620,0.14489,65.55891,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=127.8628C
ht1_003,5650,0.14229,93.19267,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=128.3438C
ht1_003,5680,0.12727,103.2073,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=128.8248C
ht1_003,5710,0.14089,54.45294,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=129.2797C
ht1_003,5740,0.14089,292.1526,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=129.6667C
ht1_003,5770,0.13413,192.986,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=130.147C
ht1_003,5800,0.11626,48.58862,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=130.5085C
ht1_003,5830,0.13935,265.2677,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.1 井斜方位温度,high,电测温度=130.9896C
