well_id,md_m,caliper_mm,borehole_nominal_diameter_mm,enlargement_ratio,data_type,source_description,confidence,notes
ht1_004,4025.73,245.37,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段0.00-4025.73m；环容29.80L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,5243.21,245.37,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段4025.73-5243.21m；环容34.62L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,5578.00,245.37,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5243.21-5578.00m；环容25.04L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,5630.00,250.82,241.3,3.95,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5578.00-5630.00m；环容27.17L/m；裸眼241.3mm井眼
ht1_004,5660.00,251.21,241.3,4.11,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5630.00-5660.00m；环容27.32L/m；裸眼241.3mm井眼
ht1_004,5690.00,250.95,241.3,4.00,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5660.00-5690.00m；环容27.22L/m；裸眼241.3mm井眼
ht1_004,5720.00,248.03,241.3,2.79,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5690.00-5720.00m；环容26.07L/m；裸眼241.3mm井眼
ht1_004,5750.00,244.48,241.3,1.32,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5720.00-5750.00m；环容24.70L/m；裸眼241.3mm井眼
ht1_004,5780.00,247.78,241.3,2.69,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5750.00-5780.00m；环容25.97L/m；裸眼241.3mm井眼
ht1_004,5810.00,248.67,241.3,3.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5780.00-5810.00m；环容26.32L/m；裸眼241.3mm井眼
ht1_004,5840.00,246.89,241.3,2.32,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5810.00-5840.00m；环容25.63L/m；裸眼241.3mm井眼
ht1_004,5870.00,248.92,241.3,3.16,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5840.00-5870.00m；环容26.42L/m；裸眼241.3mm井眼
ht1_004,5900.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5870.00-5900.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,5930.00,246.00,241.3,1.95,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5900.00-5930.00m；环容25.28L/m；裸眼241.3mm井眼
ht1_004,5960.00,242.95,241.3,0.68,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5930.00-5960.00m；环容24.11L/m；裸眼241.3mm井眼
ht1_004,5990.00,249.94,241.3,3.58,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5960.00-5990.00m；环容26.82L/m；裸眼241.3mm井眼
ht1_004,6020.00,246.13,241.3,2.00,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段5990.00-6020.00m；环容25.33L/m；裸眼241.3mm井眼
ht1_004,6050.00,244.09,241.3,1.16,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6020.00-6050.00m；环容24.55L/m；裸眼241.3mm井眼
ht1_004,6080.00,245.24,241.3,1.63,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6050.00-6080.00m；环容24.99L/m；裸眼241.3mm井眼
ht1_004,6110.00,242.70,241.3,0.58,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6080.00-6110.00m；环容24.02L/m；裸眼241.3mm井眼
ht1_004,6140.00,243.59,241.3,0.95,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6110.00-6140.00m；环容24.35L/m；裸眼241.3mm井眼
ht1_004,6170.00,245.49,241.3,1.74,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6140.00-6170.00m；环容25.09L/m；裸眼241.3mm井眼
ht1_004,6200.00,243.21,241.3,0.79,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6170.00-6200.00m；环容24.21L/m；裸眼241.3mm井眼
ht1_004,6230.00,247.40,241.3,2.53,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6200.00-6230.00m；环容25.82L/m；裸眼241.3mm井眼
ht1_004,6260.00,242.32,241.3,0.42,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6230.00-6260.00m；环容23.87L/m；裸眼241.3mm井眼
ht1_004,6290.00,246.63,241.3,2.21,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6260.00-6290.00m；环容25.53L/m；裸眼241.3mm井眼
ht1_004,6320.00,243.08,241.3,0.74,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6290.00-6320.00m；环容24.16L/m；裸眼241.3mm井眼
ht1_004,6350.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6320.00-6350.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6380.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6350.00-6380.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6410.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6380.00-6410.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6440.00,243.21,241.3,0.79,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6410.00-6440.00m；环容24.21L/m；裸眼241.3mm井眼
ht1_004,6470.00,241.68,241.3,0.16,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6440.00-6470.00m；环容23.63L/m；裸眼241.3mm井眼
ht1_004,6500.00,243.21,241.3,0.79,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6470.00-6500.00m；环容24.21L/m；裸眼241.3mm井眼
ht1_004,6530.00,242.32,241.3,0.42,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6500.00-6530.00m；环容23.87L/m；裸眼241.3mm井眼
ht1_004,6560.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6530.00-6560.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6600.00,245.49,241.3,1.74,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6560.00-6600.00m；环容25.09L/m；裸眼241.3mm井眼
ht1_004,6620.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6600.00-6620.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6650.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6620.00-6650.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6680.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6650.00-6680.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6710.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6680.00-6710.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6740.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6710.00-6740.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6770.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6740.00-6770.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,6800.00,242.19,241.3,0.37,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6770.00-6800.00m；环容23.82L/m；裸眼241.3mm井眼
ht1_004,6830.00,241.93,241.3,0.26,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6800.00-6830.00m；环容23.73L/m；裸眼241.3mm井眼
ht1_004,6860.00,242.06,241.3,0.31,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6830.00-6860.00m；环容23.77L/m；裸眼241.3mm井眼
ht1_004,6890.00,242.82,241.3,0.63,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6860.00-6890.00m；环容24.06L/m；裸眼241.3mm井眼
ht1_004,6920.00,242.57,241.3,0.53,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6890.00-6920.00m；环容23.97L/m；裸眼241.3mm井眼
ht1_004,6950.00,244.22,241.3,1.21,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6920.00-6950.00m；环容24.60L/m；裸眼241.3mm井眼
ht1_004,6980.00,242.19,241.3,0.37,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6950.00-6980.00m；环容23.82L/m；裸眼241.3mm井眼
ht1_004,7010.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段6980.00-7010.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7040.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7010.00-7040.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7070.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7040.00-7070.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7100.00,241.68,241.3,0.16,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7070.00-7100.00m；环容23.63L/m；裸眼241.3mm井眼
ht1_004,7130.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7100.00-7130.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7160.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7130.00-7160.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7190.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7160.00-7190.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7220.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7190.00-7220.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7250.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7220.00-7250.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7280.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7250.00-7280.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7310.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7280.00-7310.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7340.00,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7310.00-7340.00m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7378.05,242.00,241.3,0.29,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7340.00-7378.05m；环容23.75L/m；裸眼241.3mm井眼
ht1_004,7380.00,242.00,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7378.05-7380.00m；环容30.67L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,7400.00,242.00,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7380.00-7400.00m；环容30.67L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,7430.00,242.00,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7400.00-7430.00m；环容30.67L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,7460.00,242.00,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7430.00-7460.00m；环容30.67L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,7490.00,242.00,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7460.00-7490.00m；环容30.67L/m；套管内/重叠段环空(非裸眼井径)
ht1_004,7520.00,216.00,215.9,0.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7490.00-7520.00m；环容30.40L/m；裸眼215.9mm井眼
ht1_004,7550.00,216.00,215.9,0.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7520.00-7550.00m；环容21.32L/m；裸眼215.9mm井眼
ht1_004,7580.00,216.00,215.9,0.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7550.00-7580.00m；环容21.32L/m；裸眼215.9mm井眼
ht1_004,7610.00,216.00,215.9,0.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7580.00-7610.00m；环容21.32L/m；裸眼215.9mm井眼
ht1_004,7660.00,216.00,215.9,0.05,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.2 电测井径表,high,段7610.00-7660.00m；环容21.32L/m；裸眼215.9mm井眼
