well_id,md_m,amp_pct,quality_class,data_type,source_description,confidence,notes
ht1_004,11.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,12.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,13.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,14.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,15.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,16.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,17.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,18.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,19.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,20.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,21.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,22.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
ht1_004,23.0,,空套管,interpreted,HT1-004_固井质量测井评价图 图头+一界面解释填充(矢量) 20260721 完井,medium,一界面空;二界面不评价
