well_id,fluid_name,temperature_c,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,source_description,confidence,notes
ht1_004,油基钻井液,25,272,158,113,63,11,9,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.4 低温性能,high,AV136mPa.s PV114Pa YP22Pa 初切6.5终切10Pa
ht1_004,油基钻井液,45,160,90,66,39,8,7,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.4 低温性能,high,AV80mPa.s PV70Pa YP10Pa 初切5终切8Pa
ht1_004,油基钻井液,65,123,70,51,31,7,5,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.4 低温性能,high,AV61.5mPa.s PV53Pa YP8.5Pa 初切4终切6Pa(常温性能同此组)
ht1_004,油基钻井液(132C↓93C),93,123,70,51,31,7,5,化验报告/HT1-004 油层尾管 化验报告.docx 表7,high,n=0.635 K=0.738；与作业史常温六速123/70/51/31/7/5一致
ht1_004,隔离液(132C↓93C),93,100,63,50,33,6,4,化验报告/HT1-004 油层尾管 化验报告.docx 表7,high,n=0.611 K=0.736；隔离液1/2同
ht1_004,领浆(132C↓93C),93,>300,296,213,120,10,6,化验报告/HT1-004 油层尾管 化验报告.docx 表7,high,n=0.853 K=0.746；Ф600超量程记>300
ht1_004,尾浆(132C↓93C),93,>300,293,211,120,10,5,化验报告/HT1-004 油层尾管 化验报告.docx 表7,high,n=0.869 K=0.669；Ф600超量程记>300
ht1_004,领浆(第三方复检),88,,,256,194,108,10,化验报告/HT1-004井油层尾管第三方检测报告.pdf 领浆,high,φ400:256 φ200:194 φ100:108 φ6:10 φ4:6(88C平均)；n=0.672 K=0.731；CHAN-35
ht1_004,尾浆(第三方复检),88,,,248,181,102,9,化验报告/HT1-004井油层尾管第三方检测报告.pdf 尾浆,high,φ300:248 φ200:181 φ100:102 φ6:9 φ3:5(88C)；n=0.706 K=0.683；CHAN-35
ht1_004,油基钻井液(老化48h前),160,108,61,43,26,6,5,HT1-004井油层尾管固井作业史.doc 五.5.3,high,老化160C 48h前六速；AV54 PV47 YP7 初终切3.5/6.5
ht1_004,油基钻井液(老化48h后),160,114,65,47,28,7,5,HT1-004井油层尾管固井作业史.doc 五.5.3,high,老化160C 48h后六速；AV57 PV49 YP8 初终切4/7
ht1_004,油基钻井液(老化72h后),160,118,68,49,30,7,6,HT1-004井油层尾管固井作业史.doc 五.5.3,high,老化160C 72h后六速；AV59 PV50 YP9 初终切4/6
