well_id,interval_name,top_md_m,bottom_md_m,purpose,source_description,data_type,confidence,notes
ht1_004,地质分层-连木沁组,,5950,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深5950m厚660m
ht1_004,地质分层-胜金口组,,6074,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深6074m厚124m；胜金口组地层压力最高2.06
ht1_004,地质分层-呼图壁河组,,6744,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深6744m厚670m
ht1_004,地质分层-清水河组,,7526,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深7526m厚782m；清水河组上部异常高压段压力最高2.07
ht1_004,地质分层-喀拉扎组三段,7572,,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,顶7572m厚46m
ht1_004,地质分层-喀拉扎组二段(未穿),7660,,地层划分,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,7660m未穿厚88m
ht1_004,干层-K1q,6908,6912,干层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,气测全烃0.2745%↑0.5965%
ht1_004,干层-K1q,6938,6943,干层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃0.3686%↑1.3053%
ht1_004,干层-K1q,6971,6975,干层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃1.4853%↑2.8478%
ht1_004,干层-K1q,7049,7055,干层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃0.8605%↑3.1461%
ht1_004,气层-K1q(主力),7495,7526,主力气层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,浅灰色荧光粉细砂岩；全烃0.9413%↑4.3923%；清水河组底砂岩气层厚31m
ht1_004,气层-J3k3(主力),7531,7550,主力气层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,灰色细砂岩；全烃3.9477%↑9.7557%；喀三段气层厚19m
ht1_004,差气层-J3k2,7601,7603,差气层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃0.9349%↑2.5185%
ht1_004,差气层-J3k2,7610,7613,差气层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃0.8933%↑4.4039%
ht1_004,差气层-J3k2,7617,7621,差气层,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃1.7294%↑2.6656%
ht1_004,主力气层段,7495,7550,主力气层,CBL图头/设计二.2.3,interpreted,high,7495-7526m+7531-7550m两段；施工记录表油气层顶7495m底7572m
ht1_004,目的井段,7495,7550,CBL评价目的井段,HT1-004_固井质量测井评价图 图头(数字化),field_measured,high,目的井段7495.000-7526.000m、7531.000-7550.000m；作业史油层顶界7495m射孔底界7572m
ht1_004,油气水层段,7482,7560,CBL红线关注段,HT1-004_固井质量测井评价图 图头(数字化),field_measured,high,官方红线：该段一、二界面无连续胶结中等及以上；另5990-5993m
ht1_004,漏失层-喀拉扎组,7498.61,,钻进漏失关注点,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.6,field_measured,high,钻进至7498.61m漏失；压力窗口窄(0.027g/cm3)漏溢同层；施工控制当量1.94-1.975g/cm3
ht1_004,压力关注点-技套鞋,5578,,压稳关注点,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 三.3.3,field_measured,high,套管鞋5578m：静当量1.878控压后1.94-1.970g/cm3
ht1_004,压力关注点-6600m,6600,,压稳关注点,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 前言,field_measured,high,领浆封固段底/尾浆顶界；固井计算关注点
