well_id,md_m,temperature_c,pressure_mpa,data_type,source_description,confidence,notes
ht1_004,0,60,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.6.1,high,出口温度60C(井底循环洗井两周后)
ht1_004,5241,124,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.6.1,high,悬挂器温度124C(电测)；作业史悬挂器静止/循环124/96C
ht1_004,5241,155,142,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 九/二.2.6.1,high,实验温度5241-6600m静止155C循环132C(领浆温度系数0.85)；实验压力142MPa(第三方报告143MPa)
ht1_004,6600,155,142,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 九,high,6600-7660m循环温度132C(尾浆系数0.85)；顶部温度领浆120C尾浆142C
ht1_004,7660,155,,field_measured,HT1-004井油层尾管固井作业史.doc 八,high,井底静止/循环温度155/132C；设计电测155C；温度梯度1.25C/100m
ht1_004,7498,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 三.3.3,high,漏层7498m：压稳当量≥1.94施工上限当量≤1.975g/cm3
ht1_004,7495,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 三.3.3,high,显示层7495m：压稳当量≥1.94施工上限当量≤1.975g/cm3
ht1_004,5578,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 三.3.3,high,套管鞋5578m：静当量1.878未控1.906-1.954控压后1.94-1.970g/cm3
ht1_004,7660,,1.933,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 三.3.3,high,井底7660m地层压力系数1.933(最后求压2026-06-08密度1.91关井10min套压1.7MPa)；压稳当量≥1.94上限≤1.975；静当量1.888
ht1_004,7660,155,,field_measured,HT1-004井油层尾管固井作业史.doc 五.5.2,high,地层压力系数1.88-2.07随井段；K1l-K1s 5578-6068 1.32-2.06；K1h 6068-6738 2.06-2.04；K1q 6738-7060 2.04-2.02-2.07；K1q-J3k 7060-7660 2.07-1.88
ht1_004,7746,150,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.5.1 邻井,medium,邻井HT1-001井7746m温度150C梯度1.743C/100m
ht1_004,7618,152,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.5.1 邻井,medium,邻井HT1-003井7618m温度152C梯度1.790C/100m(同区块对比井)
