well_id,md_m,caliper_mm,borehole_nominal_diameter_mm,enlargement_ratio,data_type,source_file,source_location,confidence,notes
hu101,5720,265.18,215.9,22.83,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5740,261.43,215.9,21.09,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5760,258.29,215.9,19.63,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5780,262.24,215.9,21.46,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5800,262.0,215.9,21.35,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5820,262.18,215.9,21.44,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5840,261.69,215.9,21.21,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5860,261.48,215.9,21.11,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5880,261.63,215.9,21.18,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5900,261.38,215.9,21.07,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5920,261.17,215.9,20.97,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5940,262.6,215.9,21.63,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5960,261.1,215.9,20.94,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,5980,260.58,215.9,20.69,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6000,260.88,215.9,20.83,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6020,260.75,215.9,20.77,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6040,260.95,215.9,20.87,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6060,243.93,215.9,12.98,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6080,243.92,215.9,12.98,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6100,260.53,215.9,20.67,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6120,263.43,215.9,22.01,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6140,262.49,215.9,21.58,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6160,263.14,215.9,21.88,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6180,261.47,215.9,21.11,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6200,263.12,215.9,21.87,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6220,262.46,215.9,21.57,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6240,260.47,215.9,20.64,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6260,258.37,215.9,19.67,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6280,257.63,215.9,19.33,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6300,256.75,215.9,18.92,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6320,254.3,215.9,17.79,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6340,226.0,215.9,4.68,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6360,260.09,215.9,20.47,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6380,258.18,215.9,19.58,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6400,260.96,215.9,20.87,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6420,260.96,215.9,20.87,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6440,259.96,215.9,20.41,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6460,259.71,215.9,20.29,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6480,260.97,215.9,20.88,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6500,260.62,215.9,20.71,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6520,260.34,215.9,20.58,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6540,260.94,215.9,20.86,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6560,261.18,215.9,20.97,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6580,261.01,215.9,20.89,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6600,261.07,215.9,20.92,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6620,259.97,215.9,20.41,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6640,261.0,215.9,20.89,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6660,261.04,215.9,20.91,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6680,260.69,215.9,20.75,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6700,261.17,215.9,20.97,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6720,259.63,215.9,20.25,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6740,260.74,215.9,20.77,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6760,258.78,215.9,19.86,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6780,258.4,215.9,19.69,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6800,245.6,215.9,13.76,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6820,217.73,215.9,0.85,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6840,217.35,215.9,0.67,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6860,216.78,215.9,0.41,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6880,217.4,215.9,0.69,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6900,217.23,215.9,0.62,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6920,217.85,215.9,0.9,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6940,219.94,215.9,1.87,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6960,219.95,215.9,1.88,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,6980,211.27,215.9,-2.14,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7000,213.66,215.9,-1.04,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7020,213.78,215.9,-0.98,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7040,214.2,215.9,-0.79,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7060,215.12,215.9,-0.36,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7080,216.01,215.9,0.05,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7100,214.87,215.9,-0.48,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7120,213.52,215.9,-1.1,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7140,214.89,215.9,-0.47,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7160,212.33,215.9,-1.65,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7180,212.55,215.9,-1.55,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7200,213.66,215.9,-1.04,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7220,212.4,215.9,-1.62,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
