well_id,component,top_md_m,bottom_md_m,outer_diameter_mm,inner_diameter_mm,weight_or_grade,quantity,spacing_m,data_type,source_file,source_location,confidence,notes
hu101,liner,5402.885,6796.136,168.3,138.9,BG140V*13mm,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,168.3mm段，壁厚13mm
hu101,liner,6796.329,7048.83,139.7,111.16,TP140V*14.27mm,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,139.7mm薄壁段
hu101,liner,7048.83,7868,139.7,108.1,TP140V*15.8mm,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,139.7mm厚壁段
hu101,liner_hanger,5407.46,,273.05,,悬挂器*BG-FJU,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,大陆架封隔式，液缸外径231mm
hu101,float_collar,7855.653,,139.7,,TP-G2浮箍,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,强制式浮箍1
hu101,float_collar,7832.712,,139.7,,TP-G2浮箍,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,强制式浮箍2
hu101,float_shoe,7868,,139.7,,TP-G2浮鞋,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,加长防转浮鞋
hu101,other_liner_accessory,7809.661,,139.7,,球座,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,球座，水眼33mm
hu101,other_liner_accessory,7639.403,,139.7,,标节1,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,
hu101,other_liner_accessory,7434.268,,139.7,,标节2,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,
hu101,other_liner_accessory,6796.329,,,,变径变扣,1,,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,high,168.3转139.7mm变扣
hu101,centralizer,5400,6800,241.3,168.3,整体弹性扶正器,63,22,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,
hu101,centralizer,6800,7000,215.9,139.7,整体弹性扶正器,9,22,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,
hu101,centralizer,7000,7350,215.9,139.7,整体弹性扶正器,32,11,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,目的层加密
hu101,centralizer,7350,7600,215.9,139.7,整体弹性扶正器,11,22,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,
hu101,centralizer,7600,7700,215.9,139.7,整体弹性扶正器,9,11,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,
hu101,centralizer,7700,7868,215.9,139.7,整体弹性扶正器,8,22,field_measured,2/201/2011/20111/201111/2011111.doc,5.2,high,总计132只
hu101,plug,,,,,钻杆胶塞,2,,field_measured,2/201/2011/20111/201111/2011111.doc,十五,high,149.2mm钻杆胶塞
hu101,plug,,,,,套管空心胶塞,1,,field_measured,2/201/2011/20111/201111/2011111.doc,十五,high,139.7+168.3mm复合胶塞
hu101,liner,0,5399.78,193.7,163.48,BG140V*15.11mm*BGT2,1,,field_measured,2/201/2012/20124.doc,5.1,high,485根
hu101,float_collar,5344.53,,193.7,,节流浮箍,1,,field_measured,2/201/2012/20124.doc,5.1,high,
hu101,other_liner_accessory,5399.78,,193.7,,插入头,1,,field_measured,2/201/2012/20124.doc,5.1,high,
hu101,centralizer,0,5399.78,241.3,193.7,整体弹性扶正器,161,33,field_measured,2/201/2012/20127.doc,(二),high,实际下入161个
