well_id,fluid_name,temperature_c,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,source_file,source_location,confidence,notes
hu101,油基钻井液,65,134,76,52,30,6,5,2/201/2011/20111/201111/2011111.doc,1.4.1,high,
hu101,油基钻井液,40,270,149,112,65,12,10,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,油基钻井液,50,218,126,91,52,10,8,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,油基钻井液,60,175,102,74,44,9,7,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,油基钻井液,70,140,82,60,36,8,7,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,油基钻井液,80,118,70,51,32,7,6,2/201/2011/20111/201111/2011111.doc,1.4.2,medium,"70℃数据,300rpm读数为700可能笔误应为70"
hu101,平衡液(1.85),50,116,68,50,29,6,5,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,平衡液(1.85),60,100,59,43,26,6,5,2/201/2011/20111/201111/2011111.doc,1.4.2,high,
hu101,领浆(加重水泥),93,,149,106,60,9,5,2/201/2011/20111/201112/2011121.doc,领浆流变,high,"600rpm未记录; n=0.719, K=0.815 Pa.s^n"
hu101,尾浆(超细水泥),93,,126,87,53,8,4,2/201/2011/20111/201112/2011121.doc,尾浆流变,high,"600rpm未记录; n=0.722, K=0.684 Pa.s^n"
hu101,油基钻井液(回接),65,104,61,44,30,8,6,2/201/2012/20124.doc,1.4.1,high,
hu101,领浆(回接),93,,184,133,76,11,6,2/201/2012/20122.doc,领浆流变,high,"600rpm未记录; n=0.727, K=0.973 Pa.s^n"
hu101,尾浆(回接),93,,184,133,76,11,6,2/201/2012/20122.doc,尾浆流变,high,领尾浆流变参数相同
