well_id,data_file,field_name,value,unit,data_type,source_file,source_location,source_type,extraction_method,confidence,needs_human_review,notes
hu101,,well_name_cn,呼101,,field_measured,2/201/2011/20111/201111/2011111.doc,封面,word_text,antiword_text_extraction,high,0,
hu101,,well_type,直井,,field_measured,2/201/2011/20111/201111/2011111.doc,1.1,word_text,antiword_text_extraction,high,0,
hu101,,block,准噶尔盆地南缘冲断带霍玛吐背斜带,,field_measured,2/201/2011/20111/201111/2011111.doc,1.1,word_text,antiword_text_extraction,high,0,
hu101,,cementing_type,尾管固井,,field_measured,2/201/2011/20111/201111/2011111.doc,标题,word_text,antiword_text_extraction,high,0,
hu101,,liner_hanger_md,5407.46,m,field_measured,2/201/2011/20111/201111/2011111.doc,5.1管串组合设计,word_table,antiword_text_extraction,high,0,悬挂器本体位置
hu101,,liner_shoe_md,7868,m,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,word_table,antiword_text_extraction,high,0,
hu101,,liner_bottom_md,7868,m,field_measured,2/201/2011/20111/201111/2011111.doc,5.1,word_table,antiword_text_extraction,high,0,
hu101,,openhole_top_md,5700,m,field_measured,2/201/2011/20111/201111/2011111.doc,1.2,word_text,antiword_text_extraction,high,0,技套鞋5699.8m
hu101,,openhole_bottom_md,7868,m,field_measured,2/201/2011/20111/201111/2011111.doc,前言,word_text,antiword_text_extraction,high,0,
hu101,,borehole_nominal_diameter,215.9,mm,field_measured,2/201/2011/20111/201111/2011111.doc,1.2,word_table,antiword_text_extraction,high,0,
hu101,,drill_bit_size,215.9,mm,field_measured,2/201/2011/20111/201111/2011111.doc,1.2,word_table,antiword_text_extraction,high,0,
hu101,,caliper_profile,108点,mm,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径,word_table,antiword_text_extraction,high,0,5700-7868m逐点
hu101,,inclination_profile,108点,deg,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,word_table,antiword_text_extraction,high,0,5700-7868m逐点
hu101,,centralizer_count,132,只,field_measured,2/201/2011/20111/201111/2011115.doc,扶正器安放,word_table,antiword_text_extraction,high,0,
hu101,,pumping_schedule,设计+实际,,field_measured,2/201/2011/20111/201111/2011113.doc+2011115.doc,八、施工简述,word_text+word_table,antiword_text_extraction,high,0,
hu101,,mud_density,1.96,g/cm3,field_measured,2/201/2011/20111/201111/2011111.doc,1.4.1,word_table,antiword_text_extraction,high,0,
hu101,,mud_pv,58,mPa.s,field_measured,2/201/2011/20111/201111/2011111.doc,1.4.1,word_table,antiword_text_extraction,high,0,
hu101,,mud_yp,9.2,Pa,field_measured,2/201/2011/20111/201111/2011111.doc,1.4.1,word_table,antiword_text_extraction,high,0,
hu101,,lead_cement_n,0.719,,field_measured,2/201/2011/20111/201112/2011121.doc,领浆流变,word_table,antiword_text_extraction,high,0,幂律模式
hu101,,lead_cement_K,0.815,Pa.s^n,field_measured,2/201/2011/20111/201112/2011121.doc,领浆流变,word_table,antiword_text_extraction,high,0,
hu101,,tail_cement_n,0.722,,field_measured,2/201/2011/20111/201112/2011121.doc,尾浆流变,word_table,antiword_text_extraction,high,0,
hu101,,tail_cement_K,0.684,Pa.s^n,field_measured,2/201/2011/20111/201112/2011121.doc,尾浆流变,word_table,antiword_text_extraction,high,0,
hu101,,lead_cement_thickening_time,443,min,field_measured,2/201/2011/20111/201112/2011121.doc,领浆稠化,word_table,antiword_text_extraction,high,0,135℃/151MPa/70Bc
hu101,,tail_cement_thickening_time,177,min,field_measured,2/201/2011/20111/201112/2011121.doc,尾浆稠化,word_table,antiword_text_extraction,high,0,135℃/151MPa/70Bc
hu101,,liner_hanger_failure,悬挂器坐挂失败4次,,field_measured,2/201/2011/20111/201111/2011114.doc,三,word_text,antiword_text_extraction,high,0,最后倒扣丢手
hu101,,bump_plug_early,提前12.2m3碰压,,field_measured,2/201/2011/20111/201111/2011114.doc,四,word_text,antiword_text_extraction,high,0,
hu101,,cement_plug_short,下塞54.4m(设计150m),,field_measured,2/201/2011/20111/201111/2011114.doc,六,word_text,antiword_text_extraction,high,0,
hu101,,tieback_pump_failure,泵车故障，40m3水泥未注入,,field_measured,2/201/2012/20126.doc,(三),word_text,antiword_text_extraction,high,0,
hu101,,tieback_plug_not_inserted,胶塞未入井,,field_measured,2/201/2012/20126.doc,(三),word_text,antiword_text_extraction,high,0,
hu101,,tieback_no_bump,未碰压,,field_measured,2/201/2012/20127.doc,碰压,word_text,antiword_text_extraction,high,0,
hu101,,static_temperature_7868m,150,℃,field_measured,2/201/2011/20111/201111/2011111.doc,2.9,word_table,antiword_text_extraction,high,0,
hu101,,cbl_data,扫描版图片,,scan_image,2/201/2014/20141/,,standalone_image,visual_inspection,low,1,需OCR数字化提取
hu101,,tieback_liner_top,0,m,field_measured,2/201/2012/20124.doc,5.1,word_table,antiword_text_extraction,high,0,
hu101,,tieback_liner_bottom,5399.78,m,field_measured,2/201/2012/20124.doc,5.1,word_table,antiword_text_extraction,high,0,
hu101,,tieback_outer_diameter,193.7,mm,field_measured,2/201/2012/20124.doc,5.1,word_table,antiword_text_extraction,high,0,
