well_id,fluid_type,property,value,unit,test_temp_c,test_pressure_mpa,data_type,source_file,confidence,notes
hu102,钻井液(油基),密度,2.02,g/cm3,,,measured,20211.doc(s1.2),high,柴油基泥浆
hu102,钻井液(油基),粘度,73,s,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),塑性粘度PV,66,mPa.s,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),屈服值YP,10,Pa,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),HTHP失水(150C),2,mL,150,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),HTHP泥饼(150C),1.0,mm,150,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),油水比,85:15,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),固相含量,39,v%,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),含砂,0.3,v%,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),氯离子,14000,mg/L,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),钙离子,8600,mg/L,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),初切,3.5,Pa,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),终切,7,Pa,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),破乳电压,650,V,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi600,142,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi300,82,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi200,58,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi100,34,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi6,5,,,,measured,20211.doc(s1.2),high,
hu102,钻井液(油基),phi3,4,,,,measured,20211.doc(s1.2),high,
hu102,领浆(水泥浆),试验密度,2.20,g/cm3,126,150,measured,20234.doc,high,实验室配方试验
hu102,领浆(水泥浆),施工密度,2.10,g/cm3,,,design,20211.doc,high,实际施工密度(封固6720-7300m)
hu102,领浆(水泥浆),配方,G+12%WG+75%磁铁矿粉+30%SiO2+3%SUP+8%ST900L+2%SXY-2+1.5%ST400S+3.8%ST300R+0.3%ST500L,,,,measured,20234.doc,high,湿混
hu102,领浆(水泥浆),水灰比,52,%,,,measured,20234.doc,high,
hu102,领浆(水泥浆),造浆率,59,%,,,measured,20234.doc,high,
hu102,领浆(水泥浆),稠化时间,371,min,126,150,measured,20234.doc,high,初始20Bc-终止70Bc; 升温170min
hu102,领浆(水泥浆),phi300,163,,93,,measured,20234.doc,high,ZNN-D6B
hu102,领浆(水泥浆),phi200,128,,93,,measured,20234.doc,high,
hu102,领浆(水泥浆),phi100,106,,93,,measured,20234.doc,high,
hu102,领浆(水泥浆),phi6,10,,93,,measured,20234.doc,high,
hu102,领浆(水泥浆),phi3,6,,93,,measured,20234.doc,high,
hu102,领浆(水泥浆),流变模式,幂律模式,,,,measured,20234.doc,high,
hu102,领浆(水泥浆),n,0.737,,,,measured,20234.doc,high,
hu102,领浆(水泥浆),K,0.947,Pa.s^n,,,measured,20234.doc,high,
hu102,领浆(水泥浆),API失水(30min),42,mL,126,6.9,measured,20234.doc,high,CHANDLER4222
hu102,领浆(水泥浆),24h抗压强度,17.9,MPa,148,20.7,measured,20234.doc,high,4207D
hu102,领浆(水泥浆),游离液,0,%,93,,measured,20234.doc,high,120min静置
hu102,领浆(水泥浆),48h顶部强度,9.2,MPa,115,20.7,measured,20234.doc,high,
hu102,尾浆(水泥浆),试验密度,2.20,g/cm3,126,150,measured,20234.doc,high,实验室配方试验
hu102,尾浆(水泥浆),施工密度,2.10,g/cm3,,,design,20211.doc,high,实际施工密度(封固7300-7735m)
