well_id,md_m,caliper_mm,inclination_deg,azimuth_deg,data_type,source_file,confidence,notes
hu102,7120,193.4,4.82,7.3,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7130,193.62,4.89,7.26,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7140,188.18,5.39,7.4,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7150,188.54,6.01,7.1,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7160,188.62,6.48,6.81,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7170,188.28,6.67,6.68,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7180,190.24,7.02,6.91,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7190,191.01,7.07,6.56,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7200,192.16,7.38,6.5,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7210,192.14,7.38,6.31,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7220,194.04,7.58,6.23,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7230,190.22,7.65,6.19,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7240,190,7.84,6.75,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7250,189.49,8.29,6.8,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7260,189.29,8.43,6.2,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7270,188.9,8.51,6.32,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7280,191.28,8.37,6.16,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7290,188.81,8.21,5.91,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7300,189.67,8.35,6.54,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7310,188.89,8.6,6.21,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7320,190.23,8.96,6.27,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7330,190.57,9.29,6.17,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7340,189.74,9.44,5.98,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7350,191.36,9.74,5.94,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7360,193.59,9.82,5.93,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7370,194.47,9.8,5.94,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7380,195.17,10.62,5.81,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7390,196.07,10.53,5.76,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7400,194.36,10.73,5.82,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7410,194.61,10.96,5.78,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7420,195.17,11.09,6.1,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7430,196.89,11.33,5.92,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7440,200.58,11.44,6.23,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7450,193.4,11.49,8.05,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7460,194.74,10.39,6.45,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7470,192.77,8.7,6.64,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7480,184.85,6.99,7.16,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7490,185.08,5.94,6.68,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7500,187.88,6.06,7.24,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7510,194.08,5.35,6.54,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7520,191.24,4.63,6.71,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7530,189.35,4.53,7.35,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7540,186.73,4.53,6.95,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7550,188.22,4.6,7.14,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7560,189.35,4.68,7.47,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7570,198.72,4.34,7.53,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7580,194.26,4.21,6.58,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7590,187.92,4.21,6.91,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7600,187.85,4.24,7.04,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7610,187.22,3.76,7.04,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7620,187.74,3.97,7.09,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7630,194.96,3.83,7.43,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7640,188.03,3.42,7.24,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7650,187.68,3.73,7.11,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7660,188.75,3.47,7,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7670,188.14,3.77,7.53,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7680,188.41,4.33,7.36,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7690,189.94,3.71,6.98,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7700,191.94,4.16,7.38,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7710,190.32,3.74,6.73,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7720,190.31,3.73,7.17,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
hu102,7735,191.36,3.7,7.5,measured,20211.doc(section 1.6),high,电测井径+井斜(10m间隔)
