well_id,component,top_md_m,bottom_md_m,od_mm,id_mm,grade,connection,wall_mm,quantity,cumulative_length_m,manufacturer,spacing_m,data_type,source_file,confidence,notes
hu102,float_shoe,7735,7735,139.7,108.1,TP140V,TP-G2,15.8,1,0.961,大陆架,,measured,20211.doc,high,浮鞋
hu102,liner_pipe,7734.039,7722.899,139.7,108.1,TP140V,TP-G2,15.8,1,11.14,天钢,,measured,20211.doc,high,套管第1根(底部)
hu102,float_collar_1,7711.648,7711.313,139.7,108.1,TP140V,TP-G2,15.8,1,0.335,大陆架,,measured,20211.doc,high,浮箍#1
hu102,liner_pipe,7711.313,7688.649,139.7,108.1,TP140V,TP-G2,15.8,1,22.664,天钢,,measured,20211.doc,high,第3根
hu102,float_collar_2,7688.649,7688.314,139.7,108.1,TP140V,TP-G2,15.8,1,0.335,大陆架,,measured,20211.doc,high,浮箍#2
hu102,liner_pipe,7688.314,7665.781,139.7,108.1,TP140V,TP-G2,15.8,2,22.533,天钢,,measured,20211.doc,high,第5-6根
hu102,ball_seat,7665.781,7665.516,139.7,108.1,TP140V,TP-G2,15.8,1,0.265,大陆架,,measured,20211.doc,high,球座
hu102,liner_pipe_heavy,7665.516,7575.695,139.7,108.1,TP140V,TP-G2,15.8,8,89.821,天钢,,measured,20211.doc,high,"底部厚壁段(15.8mm), 50根总长563.205m"
hu102,marker_joint_1,7575.695,7574.365,139.7,108.1,TP140V,TP-G2,15.8,1,1.33,天钢,,measured,20211.doc,high,标节1
hu102,liner_pipe_heavy2,7574.365,7382.662,139.7,108.1,TP140V,TP-G2,15.8,17,191.703,天钢,,measured,20211.doc,high,中部厚壁段
hu102,marker_joint_2,7382.662,7381.333,139.7,108.1,TP140V,TP-G2,15.8,1,1.329,天钢,,measured,20211.doc,high,标节2
hu102,liner_pipe_heavy3,7381.333,7099.652,139.7,108.1,TP140V,TP-G2,15.8,25,281.681,天钢,,measured,20211.doc,high,上部厚壁段
hu102,liner_pipe_thin,7099.652,6826.015,139.7,111.16,TP140V,TP-G2,14.27,25,273.637,天钢,,measured,20211.doc,high,"上部薄壁段(14.27mm), 36根总长273.637m"
hu102,liner_hanger,6826.015,6823.095,139.7,,TP140V,TP-G2,,1,2.92,大陆架,,measured,20211.doc,high,悬挂器(FHDS550)
hu102,tieback_sleeve,6823.095,6821.895,139.7,,TP140V,TP-G2,,1,1.2,大陆架,,measured,20211.doc,high,回接筒
hu102,sending_tool,6821.895,6820.475,127,,,NC50,,1,1.42,,,measured,20211.doc,high,送入工具
hu102,cross_over,6820.475,6819.367,,,,DSTJ50x411,,1,1.108,,,measured,20211.doc,high,变扣
hu102,drill_pipe,6819.367,5101.247,114.3,97.18,S135,DSTJ50,8.56,180,1718.12,,,measured,20211.doc,high,送入钻具
hu102,cross_over_2,5101.247,5100.154,,,,DSTJ50xFHDS550,,1,0.93,,,measured,20211.doc,high,变扣2
hu102,drill_collar,5100.154,0,149.2,,V150,FHDS550,9.65,532,5101.251,,,measured,20211.doc,high,钻铤(含钻余-1.097)
hu102,centralizer,6820,7350,,,弹性扶正器,整体式,190.5,23,,,22,design,20211.doc,high,"整体弹性扶正器,外径190.5mm,间距22m"
hu102,centralizer,7350,7560,,,弹性扶正器,整体式,190.5,19,,,11,design,20211.doc,high,"整体弹性扶正器,间距19m"
hu102,centralizer,7560,7735,,,弹性扶正器,整体式,190.5,8,,,8,design,20211.doc,high,"密集布置(8m间距),共55个扶正器"
