well_id,date,time,event_type,description,depth_m,flow_rate_m3_min,pressure_mpa,weight_t,duration,data_type,source_file,confidence,notes
hu102,2022-11-17,01:30-02:00,下尾管,下部结构入井,,,,,30min,measured,20211.doc,high,下尾管开始
hu102,2022-11-17,07:40,下尾管完成,尾管下完(913m),,,,,,measured,20211.doc,high,尾管总长913m
hu102,2022-11-17,08:10,循环,循环,913,1.2,4.9,,,measured,20211.doc,high,
hu102,2022-11-17,09:15,接悬挂器,"接悬挂器,60t,空悬30t",,,,60,,measured,20211.doc,high,
hu102,2022-11-17,19:00,下钻,下钻至2982m,2982,,,,,measured,20211.doc,high,
hu102,2022-11-17,19:35,灌浆,"灌浆,装胶芯,接顶驱",2982,,,,,measured,20211.doc,high,
hu102,2022-11-17,20:11,顶通,顶通,2982,0.04,3.4,,,measured,20211.doc,high,
hu102,2022-11-18,01:30,循环重浆,循环排重浆,5405,0.65,5.3,,,measured,20211.doc,high,
hu102,2022-11-18,11:31,下钻,"下钻至5405m,控压1.5-1.6MPa",5405,,2.3(静止),,,measured,20211.doc,high,控压下钻
hu102,2022-11-18,15:40,顶通循环,"顶通循环,出口温度40C",5405,0.54,5.6,,,measured,20211.doc,high,出口温度40C
hu102,2022-11-19,00:00,下钻,"下钻至7096m灌浆,接顶驱",7096,,2.3,,,measured,20211.doc,high,控压2.3MPa
hu102,2022-11-19,03:40,下钻到位,"下钻到位,245t",7735,,,245,,measured,20211.doc,high,
hu102,2022-11-19,03:50,探底,"多下放1.4m探到底,继续下放1m,下压10t",7735,,,,,measured,20211.doc,high,
hu102,2022-11-19,04:02,顶通,顶通,7735,0.06,4.37-4.23,,,measured,20211.doc,high,
hu102,2022-11-19,08:47,循环,循环,7735,0.6,11.6,,,measured,20211.doc,high,
hu102,2022-11-19,17:35,循环,循环,7735,1,16.74,,,measured,20211.doc,high,
hu102,2022-11-19,18:40,循环,循环(最大排量),7735,1.09,19-18.5,,,measured,20211.doc,high,排量达到最大
hu102,2022-11-19,18:50,停泵投球,"停泵,控压2MPa,卸钻杆,投球",,,2,,,measured,20211.doc,high,控压2MPa
hu102,2022-11-19,20:32,送球到位,开泵送球到位,7735,0.18,4.3,,,measured,20211.doc,high,
hu102,2022-11-19,20:35,憋压,"憋压至11.3MPa,关井未圈压",,,11.3,,,measured,20211.doc,high,
hu102,2022-11-19,20:40,稳压,"稳压11.3MPa,5min",,,11.3,,5min,measured,20211.doc,high,稳压成功
hu102,2022-11-19,20:43,坐挂,悬重由244t下放至238t后悬重不变,,,,244-238,,measured,20211.doc,high,
hu102,2022-11-19,20:44,憋压,憋压至12MPa,,,12,,,measured,20211.doc,high,
hu102,2022-11-19,21:25,坐挂成功,由245t下放至207t(下压13t)回缩距3.04m,,,,245-207,,measured,20211.doc,high,"坐挂成功:下压13t,回缩距3.04m"
