well_id,file_path,file_name,file_type,category,description,extraction_status,notes
hu102,2/202/2022/20221/202211.jpg,202211.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段1,待OCR/视觉分析,深度段待确认
hu102,2/202/2022/20221/202212.jpg,202212.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段2,待OCR/视觉分析,
hu102,2/202/2022/20221/202213.jpg,202213.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段3,待OCR/视觉分析,
hu102,2/202/2022/20221/202214.jpg,202214.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段4,待OCR/视觉分析,
hu102,2/202/2022/20221/202215.jpg,202215.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段5,待OCR/视觉分析,
hu102,2/202/2022/20221/202216.jpg,202216.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图-段6,待OCR/视觉分析,
hu102,2/202/2022/20222/202221.jpg,202221.jpg,JPG(888x1857),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202222.jpg,202222.jpg,JPG(1920x910),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202223.jpg,202223.jpg,JPG(1520x720),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202224.jpg,202224.jpg,JPG(1920x864),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202225.jpg,202225.jpg,JPG(1280x1706),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202226.jpg,202226.jpg,JPG(1706x1280),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202227.jpg,202227.jpg,JPG(1706x1280),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/202228.jpg,202228.jpg,JPG(1706x1280),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,2/202/2022/20222/2022291.jpg,2022291.jpg,JPG(888x1857),CBL/VDL测井图,CBL/VDL测井图,待OCR/视觉分析,
hu102,1/1004/10041/100413.PDF,100413.PDF,PDF(1页),固井质量评价图,呼102井CBL评价图(6840-7665m),部分提取(文字层),含完整井段CBL评价结论:合格率66.65%
hu102,1/1004/10041/100422.PDF,100422.PDF,PDF(1页),RCD固井质量成果图,RCD固井质量成果图-页1,待OCR(扫描图像),
hu102,1/1004/10041/100423.PDF,100423.PDF,PDF(1页),RCD固井质量成果图,RCD固井质量成果图-页2,待OCR(扫描图像),
hu102,1/1004/10041/100424.PDF,100424.PDF,PDF(1页),RCD固井质量成果图,RCD固井质量成果图-页3,待OCR(扫描图像),
hu102,1/1004/10041/100411.PDF,100411.PDF,"PDF(1页,23MB)",固井质量评价图,CBL评价图(60-5449.6m),部分提取(文字层),"193.7mm段,非尾管段"
hu102,1/1004/10041/100412.PDF,100412.PDF,PDF(1页),固井质量评价图,CBL评价图(5449.6-6248m),部分提取(文字层),过渡段
hu102,1/1004/10041/100419.PDF,100419.PDF,PDF(1页),固井质量评价图,CBL评价图(5461-7085m),部分提取(文字层),顶部段
hu102,2/202/2024/20242.jpg,20242.jpg,JPG,施工监测图,施工过程监测图,待视觉分析,
hu102,2/202/2024/20243.jpg,20243.jpg,JPG,施工监测图,施工过程监测图,待视觉分析,
hu102,2/202/2024/20244.jpg,20244.jpg,JPG,施工监测图,施工过程监测图,待视觉分析,
hu102,2/202/2024/20245.png,20245.png,PNG,施工监测图,施工过程监测图,待视觉分析,
hu102,2/202/2024/20246.png,20246.png,PNG,施工监测图,施工过程监测图,待视觉分析,
