well_id,md_m,inclination_deg,azimuth_deg,data_type,source_file,confidence,notes
hu102,7120,4.82,7.3,measured,20211.doc(section 1.6),high,
hu102,7130,4.89,7.26,measured,20211.doc(section 1.6),high,
hu102,7140,5.39,7.4,measured,20211.doc(section 1.6),high,
hu102,7150,6.01,7.1,measured,20211.doc(section 1.6),high,
hu102,7160,6.48,6.81,measured,20211.doc(section 1.6),high,
hu102,7170,6.67,6.68,measured,20211.doc(section 1.6),high,
hu102,7180,7.02,6.91,measured,20211.doc(section 1.6),high,
hu102,7190,7.07,6.56,measured,20211.doc(section 1.6),high,
hu102,7200,7.38,6.5,measured,20211.doc(section 1.6),high,
hu102,7210,7.38,6.31,measured,20211.doc(section 1.6),high,
hu102,7220,7.58,6.23,measured,20211.doc(section 1.6),high,
hu102,7230,7.65,6.19,measured,20211.doc(section 1.6),high,
hu102,7240,7.84,6.75,measured,20211.doc(section 1.6),high,
hu102,7250,8.29,6.8,measured,20211.doc(section 1.6),high,
hu102,7260,8.43,6.2,measured,20211.doc(section 1.6),high,
hu102,7270,8.51,6.32,measured,20211.doc(section 1.6),high,
hu102,7280,8.37,6.16,measured,20211.doc(section 1.6),high,
hu102,7290,8.21,5.91,measured,20211.doc(section 1.6),high,
hu102,7300,8.35,6.54,measured,20211.doc(section 1.6),high,
hu102,7310,8.6,6.21,measured,20211.doc(section 1.6),high,
hu102,7320,8.96,6.27,measured,20211.doc(section 1.6),high,
hu102,7330,9.29,6.17,measured,20211.doc(section 1.6),high,
hu102,7340,9.44,5.98,measured,20211.doc(section 1.6),high,
hu102,7350,9.74,5.94,measured,20211.doc(section 1.6),high,
hu102,7360,9.82,5.93,measured,20211.doc(section 1.6),high,
hu102,7370,9.8,5.94,measured,20211.doc(section 1.6),high,
hu102,7380,10.62,5.81,measured,20211.doc(section 1.6),high,
hu102,7390,10.53,5.76,measured,20211.doc(section 1.6),high,
hu102,7400,10.73,5.82,measured,20211.doc(section 1.6),high,
hu102,7410,10.96,5.78,measured,20211.doc(section 1.6),high,
hu102,7420,11.09,6.1,measured,20211.doc(section 1.6),high,
hu102,7430,11.33,5.92,measured,20211.doc(section 1.6),high,
hu102,7440,11.44,6.23,measured,20211.doc(section 1.6),high,
hu102,7450,11.49,8.05,measured,20211.doc(section 1.6),high,
hu102,7460,10.39,6.45,measured,20211.doc(section 1.6),high,
hu102,7470,8.7,6.64,measured,20211.doc(section 1.6),high,
hu102,7480,6.99,7.16,measured,20211.doc(section 1.6),high,
hu102,7490,5.94,6.68,measured,20211.doc(section 1.6),high,
hu102,7500,6.06,7.24,measured,20211.doc(section 1.6),high,
hu102,7510,5.35,6.54,measured,20211.doc(section 1.6),high,
hu102,7520,4.63,6.71,measured,20211.doc(section 1.6),high,
hu102,7530,4.53,7.35,measured,20211.doc(section 1.6),high,
hu102,7540,4.53,6.95,measured,20211.doc(section 1.6),high,
hu102,7550,4.6,7.14,measured,20211.doc(section 1.6),high,
hu102,7560,4.68,7.47,measured,20211.doc(section 1.6),high,
hu102,7570,4.34,7.53,measured,20211.doc(section 1.6),high,
hu102,7580,4.21,6.58,measured,20211.doc(section 1.6),high,
hu102,7590,4.21,6.91,measured,20211.doc(section 1.6),high,
hu102,7600,4.24,7.04,measured,20211.doc(section 1.6),high,
hu102,7610,3.76,7.04,measured,20211.doc(section 1.6),high,
hu102,7620,3.97,7.09,measured,20211.doc(section 1.6),high,
hu102,7630,3.83,7.43,measured,20211.doc(section 1.6),high,
hu102,7640,3.42,7.24,measured,20211.doc(section 1.6),high,
hu102,7650,3.73,7.11,measured,20211.doc(section 1.6),high,
hu102,7660,3.47,7,measured,20211.doc(section 1.6),high,
hu102,7670,3.77,7.53,measured,20211.doc(section 1.6),high,
hu102,7680,4.33,7.36,measured,20211.doc(section 1.6),high,
hu102,7690,3.71,6.98,measured,20211.doc(section 1.6),high,
hu102,7700,4.16,7.38,measured,20211.doc(section 1.6),high,
hu102,7710,3.74,6.73,measured,20211.doc(section 1.6),high,
hu102,7720,3.73,7.17,measured,20211.doc(section 1.6),high,
hu102,7735,3.7,7.5,measured,20211.doc(section 1.6),high,
hu102,6820,,,derived,20211.doc,medium,尾管悬挂器顶(无测斜)
hu102,7490,11.49,8.05,measured,20211.doc,high,最大井斜点
hu102,7735,3.7,7.5,measured,20211.doc,high,井底
