well_id,stage,fluid_type,density_gcm3,volume_m3,pump_rate_m3_min,pressure_mpa,start_time,end_time,duration_min,cumulative_strokes,back_pressure_mpa,data_type,source_file,confidence,notes
hu102,1.前置液,平衡液,1.90,15,0.3-0.6,,12:00,12:43,43,,0.0,measured,20211.doc,high,原方案:平衡液
hu102,异常,,,,,,14:00,,,,4.2,event,20211.doc,high,"管内外联通,下部结构失效;放回水不断流,单流阀失效"
hu102,2.隔离液(试),隔离液,2.05,5,0.6,,14:12,14:17,5,,,measured,20211.doc,high,泵压15.5MPa
hu102,方案调整,,,,,,17:35,,,,,event,20211.doc,high,"尾管内全部替入2.10g/cm3隔离液,施工结束立即关井,不留上塞"
hu102,3.隔离液,隔离液,2.05,15,0.6-0.8,13-15.7,17:56,17:57,1,,0.0,measured,20211.doc,high,
hu102,4.领浆,领浆(水泥),2.10,10,0.6-0.8,15.7,18:10,18:25,15,,0.0,measured,20211.doc,high,封固段6720-7300m
hu102,5.尾浆,尾浆(水泥),2.10,7,0.6-0.8,15.5,18:25,18:26,1,,0.0,measured,20211.doc,high,封固段7300-7735m
hu102,6.下胶塞,,,,,,18:26,,,,1.9,event,20211.doc,high,停泵下胶塞
hu102,7.压塞液,压塞液,2.10,7,0.3-0.8,6-13,18:41,18:50,9,,0.0,measured,20211.doc,high,
hu102,8.后置液,保护液,1.90,6,0.6-0.8,13,18:50,18:53,3,,0.0,measured,20211.doc,high,
hu102,9.替浆,钻井液(油基),2.02,72,0.9-0.46,17.2-9.9,18:57,20:25,88,3944_accum,0.0,measured,20211.doc,high,74m3替浆;排量逐步从0.9降至0.46; 19:30平衡液进环空; 19:44隔离液进环空; 20:02领浆进环空; 20:13胶塞重合; 20:18尾浆进环空
hu102,10.关井,,,,,,20:45,,20,,4.2,event,20211.doc,high,停泵关井套压4.2MPa
hu102,11.拔中心管,,,,,,21:00,,,,4.2,event,20211.doc,high,"控压4.2MPa上提7m拔出中心管,上提悬重220t"
hu102,12.循环排混浆,钻井液,2.02,41,1.3,20,22日00:30,,,,0.0,measured,20211.doc,high,"敞压循环排除混浆41方,见隔离液、水泥浆混浆"
hu102,13.控压循环,钻井液,2.02,,1.3,21.9,22日11:00,,,,2.2,measured,20211.doc,high,控压2.2MPa循环
hu102,14.关井候凝,,,,,,24日21:00,,,,5.8-3.7,event,20211.doc,high,"加回压候凝,5.8降至3.7MPa"
