well_id,md_m,inclination_deg,azimuth_deg,tvd_m,data_type,source_file,source_location,confidence,notes
hu103,5760,0.28,151.43,5759.98,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.3m
hu103,5790,0.74,96.43,5789.98,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.4m
hu103,5820,0.49,97.76,5819.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.5m
hu103,5850,0.17,110.47,5849.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.5m
hu103,5880,0.12,87.37,5879.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.6m
hu103,5910,0.2,96.24,5909.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.7m
hu103,5940,0.21,80.11,5939.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.8m
hu103,5970,0.26,86.03,5969.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.9m
hu103,6000,0.12,333.39,5999.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移14.9m
hu103,6030,0.51,149.72,6029.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.0m
hu103,6060,0.41,94.18,6059.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.1m
hu103,6090,0.07,11.05,6089.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.2m
hu103,6120,0.55,109.37,6119.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.3m
hu103,6150,0.19,352.83,6149.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.3m
hu103,6180,0.28,77.38,6179.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.4m
hu103,6210,0.35,126.5,6209.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.5m
hu103,6240,0.31,162.16,6239.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.6m
hu103,6270,0.31,186.88,6269.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.7m
hu103,6300,0.3,204.41,6299.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.7m
hu103,6330,0.3,211.25,6329.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.8m
