well_id,interval_name,top_md_m,bottom_md_m,purpose,source_file,source_location,data_type,confidence,notes
hu103,水层-胜金口组(K1s),6120,6122,高压水层需封固压稳,20313.doc,2.3油气显示,design,high,压力系数2.10; 固井全程控压至6120m ECD>2.03g/cm3
hu103,差气层-清水河组(K1q),7476,7479,显示层需尾浆封固,20313.doc,2.3油气显示,design,high,气测最高86%; 点火可燃淡蓝火焰; 尾浆封固7000-7770m确保压稳
hu103,气层-清水河组(K1q),7507,7557,气层,20313.doc,2.3油气显示,design,medium,气测最高12%
hu103,差气层-喀拉扎组(J3k),7563,7619,差气层,20313.doc,2.3油气显示,design,medium,气测最高18%; 取心荧光岩心15.9m
hu103,漏层1,7542,7542.69,井漏风险点,20313.doc,1.7钻进复杂,design,high,取芯钻进至7542.69m漏失; 漏速0.2m3/10min
hu103,渗漏点,7652.6,7652.6,渗漏风险点,20313.doc,1.7钻进复杂,design,high,15min液面下降0.4m3
hu103,射孔底界,,7685,射孔段底部,20318.doc,基本数据,design,medium,射孔底界7685m
hu103,领浆封固段,5350,6000,领浆封固段,20313.doc,5.2.4(2)浆柱结构,design,high,设计领浆封固井段
hu103,中间浆封固段,6000,7000,中间浆封固段(封固水层),20313.doc,5.2.4(2)浆柱结构,design,high,设计中间浆封固井段
hu103,尾浆封固段,7000,7770,尾浆封固段(封固显示层),20313.doc,5.2.4(2)浆柱结构,design,high,设计尾浆封固井段
