measured_depth_m,bit_size_mm,avg_caliper_mm,source_file
5694.1,190.5,194.02,204111.doc
5720.1,190.5,205.36,204111.doc
5740.1,190.5,208.10,204111.doc
5760.1,190.5,224.61,204111.doc
5780.1,190.5,233.34,204111.doc
5800.1,190.5,202.11,204111.doc
5820.1,190.5,192.71,204111.doc
5840.1,190.5,193.93,204111.doc
5860.1,190.5,194.49,204111.doc
5880.1,190.5,192.29,204111.doc
5900.1,190.5,192.33,204111.doc
5920.1,190.5,192.79,204111.doc
5940.1,190.5,194.12,204111.doc
5960.1,190.5,192.44,204111.doc
5980.1,190.5,192.23,204111.doc
6000.1,190.5,192.79,204111.doc
6020.1,190.5,191.82,204111.doc
6040.1,190.5,193.56,204111.doc
6060.1,190.5,190.79,204111.doc
6080.1,190.5,193.61,204111.doc
6100.1,190.5,197.57,204111.doc
6120.1,190.5,194.27,204111.doc
6140.1,190.5,193.03,204111.doc
6160.1,190.5,191.94,204111.doc
6180.1,190.5,192.76,204111.doc
6200.1,190.5,191.92,204111.doc
6220.1,190.5,192.80,204111.doc
6240.1,190.5,192.70,204111.doc
6260.1,190.5,197.03,204111.doc
6280.1,190.5,202.63,204111.doc
6300.1,190.5,195.52,204111.doc
6320.1,190.5,194.59,204111.doc
6340.1,190.5,197.49,204111.doc
6360.1,190.5,195.48,204111.doc
6380.1,190.5,194.25,204111.doc
6400.1,190.5,194.35,204111.doc
6420.1,190.5,193.42,204111.doc
6440.1,190.5,193.93,204111.doc
6460.1,190.5,193.65,204111.doc
6480.1,190.5,192.57,204111.doc
6500.1,190.5,192.01,204111.doc
6520.1,190.5,191.94,204111.doc
6540.1,190.5,191.50,204111.doc
6560.1,190.5,191.94,204111.doc
6580.1,190.5,192.35,204111.doc
6600.1,190.5,192.25,204111.doc
6620.1,190.5,193.65,204111.doc
6640.1,190.5,192.53,204111.doc
6660.1,190.5,191.67,204111.doc
6680.1,190.5,192.60,204111.doc
6700.1,190.5,191.40,204111.doc
6720.1,190.5,191.45,204111.doc
6740.1,190.5,191.15,204111.doc
6760.1,190.5,191.11,204111.doc
6780.1,190.5,191.59,204111.doc
6800.1,190.5,191.53,204111.doc
6820.1,190.5,192.62,204111.doc
6840.1,190.5,192.51,204111.doc
6860.1,190.5,190.88,204111.doc
6880.1,190.5,191.48,204111.doc
6900.1,190.5,193.22,204111.doc
6920.1,190.5,191.03,204111.doc
6940.1,190.5,190.22,204111.doc
6960.1,190.5,190.75,204111.doc
6980.1,190.5,190.64,204111.doc
7000.1,190.5,191.33,204111.doc
7020.1,190.5,192.30,204111.doc
7040.1,190.5,192.99,204111.doc
7060.1,190.5,193.15,204111.doc
7080.1,190.5,192.19,204111.doc
7100.1,190.5,194.03,204111.doc
7120.1,190.5,191.59,204111.doc
7140.1,190.5,192.98,204111.doc
7160.1,190.5,191.94,204111.doc
7180.1,190.5,192.28,204111.doc
7200.1,190.5,194.12,204111.doc
7220.1,190.5,190.65,204111.doc
7240.1,190.5,195.12,204111.doc
7260.1,190.5,193.99,204111.doc
7280.1,190.5,191.62,204111.doc
7300.1,190.5,190.82,204111.doc
7320.1,190.5,190.83,204111.doc
7340.1,190.5,188.57,204111.doc
7360.1,190.5,214.81,204111.doc
7380.1,190.5,189.00,204111.doc
7400.1,190.5,190.44,204111.doc
7420.1,190.5,189.67,204111.doc
7440.1,190.5,189.19,204111.doc
7460.1,190.5,189.00,204111.doc
7480.1,190.5,211.09,204111.doc
7500.1,190.5,214.35,204111.doc
7520.1,190.5,204.70,204111.doc
7540.1,190.5,185.27,204111.doc
7560.1,190.5,185.47,204111.doc
7580.1,190.5,188.09,204111.doc
7600.1,190.5,190.50,204111.doc
