sequence,component,od_mm,grade,wall_mm,connection,weight_n_m,length_m,cum_length_m,bottom_md_m,top_md_m,description,source_file
1,浮鞋,139.7,TP140V,14.27,TP-CQ,433.6,1,1,7601,7600,139.7mm浮鞋,204111.doc
2,套管(厚壁),139.7,TP140V,14.27,TP-CQ,433.6,22,23,7600,7578,22根TP140V 14.27mm套管,204111.doc
3,浮箍,139.7,TP140V,14.27,TP-CQ,433.6,0.5,23.5,7578,7577.5,浮箍,204111.doc
4,套管(厚壁),139.7,TP140V,14.27,TP-CQ,433.6,20,43.5,7577.5,7557.5,20根TP140V 14.27mm套管,204111.doc
5,球座,139.7,TP140V,14.27,TP-CQ,433.6,0.5,44,7557.5,7557,球座,204111.doc
6,套管(厚壁),139.7,TP140V,14.27,TP-CQ,433.6,106,150,7557,7451,106根TP140V 14.27mm套管,204111.doc
7,短套管(厚壁),139.7,TP140V,14.27,TP-CQ,433.6,1,151,7451,7450,1根短套管,204111.doc
8,套管(厚壁段),139.7,TP140V,14.27,TP-CQ,433.6,1750,1901,7450,5700,1750m厚壁套管(44.2kg/m),204111.doc
9,套管(薄壁段),139.7,TP140V,12.09,TP-CQ,379.55,2170,4071,5700,3530,2170m薄壁套管(38.69kg/m),204111.doc
10,悬挂器送入工具,225,TP140V,26.57,TP-CQ,1276,6.74,4077.74,3530,3523.27,尾管悬挂器送入工具,204111.doc
11,变径接头,,,14.27,TP-CQ公xLCSG母,,0,,3523.27,3523.27,139.7mm变径接头,10064.doc
12,尾管悬挂器,,,,273.1x193.7mm TP-CQ,,0,,3523.27,3523.27,"额定载荷1550kN, 回接筒外径225mm",10064.doc
