time,event_type,description,depth_m,density_g_cm3,pressure_mpa,rate_m3_min,source_file
2020-10-25 11:10,开始施工,固井施工开始,,,,,204151.doc
2020-10-25 11:30-11:45,试压,管线试压20MPa,,,20,,204151.doc
2020-10-25 11:45-12:10,注冲洗液,注密度2.0g/cm3冲洗液15m3,1000,2.0,6.8-7.6,0.65,204151.doc
2020-10-25 12:10-12:35,注加重隔离液,注密度2.05g/cm3加重隔离液15m3,1000,2.05,6.5-8.0,0.65,204151.doc
2020-10-25 12:35-13:20,注领浆,注密度2.10g/cm3领浆24m3,3523-5300,2.10,8-8.5,0.65,204151.doc
2020-10-25 13:20-14:30,注尾浆,注密度1.90g/cm3尾浆(14m3+22m3),5300-7601,1.90,9-13,0.65,204151.doc
2020-10-25 14:30-14:35,投钻杆胶塞,投钻杆胶塞后开泵追5m3,,,,,204151.doc
2020-10-25 14:35-,替浆,"替浆87m3(后置2m3/1.95g+管串36m3/1.95g+环空49m3/2.08g), 排量0.65-0.5-0.36-0.42m3/min, 压力2-10MPa",3523,2.05/1.95/2.08,2-10,0.36-0.65,204151.doc
2020-10-25 ,碰压,碰压6MPa,3523,,6,,204151.doc
,管内外压差,"碰压后关封隔器, 管内外压差6MPa, 候凝240min",,,6,,204151.doc
,循环,开泵循环2.4m3/min返出正常,,,,2.4,204151.doc
2020-10-25 2:00-2:10,注水泥(施工时间),注水泥50min,,2.10-1.90,,0.7,204151.doc
,碰压后,稳压3min泄压至0,,,13(碰压)→0,,204151.doc
2020-10-25 ,循环洗井,开泵后压力20MPa降至2MPa,,,20→2,,204151.doc
2020-10-25 ,替浆结束,"替浆结束, 悬重148t变15t",,,7.0,0.7,204151.doc
2020-11-04,测CBL/VDL,"电测, 测量井段3530-7601m",3530-7601,,,,204151.doc
2020-11-17,测声幅完井,全井测声幅完井,,,,,10068.doc
