fluid_type,property,value,unit,condition,source_file,notes
钻井液(固井前),密度,2.12,g/cm3,,204111.doc,油基钻井液
钻井液(固井前),粘度,73,s,,204111.doc,
钻井液(固井前),塑性粘度,66,MPa.s,,204111.doc,
钻井液(固井前),动切力,10,Pa,,204111.doc,
钻井液(固井前),HTHP失水,2,ml,150℃,204111.doc,
钻井液(固井前),含油,85,%,,204111.doc,
钻井液(固井前),含水,15,%,,204111.doc,
钻井液(固井前),氯根,14000,mg/l,,204111.doc,
冲洗型隔离液,密度,2.00,g/cm3,,204151.doc,前置液15m3
加重隔离液,密度,2.05,g/cm3,,204151.doc,前置液15m3
水泥浆(领浆),密度,2.10,g/cm3,,204151.doc/204111.doc,3523-5300m段
水泥浆(尾浆),密度,1.90,g/cm3,,204151.doc/204111.doc,5300-7601m段
后置液,密度,2.05,g/cm3,,204151.doc,2m3
替浆液1,密度,1.95,g/cm3,,204151.doc,36m3
替浆液2,密度,2.08,g/cm3,,204151.doc,49m3
水泥浆(领浆),设计密度,2.10,g/cm3,,204111.doc,
水泥浆(尾浆),设计密度,1.90,g/cm3,,204111.doc,
领浆,API失水,<50,ml/30min.7MPa,,204111.doc,
尾浆,API失水,<50,ml/30min.7MPa,,204111.doc,
领浆,稠化时间(70Bc),480-540,min,,204111.doc,
尾浆,稠化时间(70Bc),300-360,min,,204111.doc,
领浆,抗压强度(3373m/72h),>7,MPa,,204111.doc,
领浆,抗压强度(5700m/48h),>7,MPa,,204111.doc,
尾浆,抗压强度(6100m/48h),>14,MPa,,204111.doc,
尾浆,抗压强度(7601m/24h),>14,MPa,,204111.doc,
隔离液,与水泥浆50%参混稠化时间,>500,min,,10064.doc,
水泥浆体系,配方,D系列高密度水泥,,,10064.doc/204111.doc,水泥:G级 + GM-1加重剂 + SiO2 + 外加剂
隔离液配方,,水+6.5%D182+7.6%D701+0.5~1.5%D150+0.8%D175+0~210%GM-1+10%GOF-S-227W,,,10064.doc,
