image_filename,well_name,image_type,depth_range_m,casing_size_mm,logging_date,source_path,key_findings
100611.jpg,呼探1,CBL+VDL测井图,7210~7560,139.7,2020-12-01,1006/10061/100611.jpg,底部井段; 整体好; 7415-7430m差; 7465-7485m局部差
100612.jpg,呼探1,CBL+VDL测井图,7333~7607,139.7,2019-12-20,1006/10061/100612.jpg,下部井段; 7474-7514m(40m)不合格; 7514-7586m中等
100613.jpg,呼探1,CBL+VDL测井图,5630~7425,139.7,2020后期,1006/10061/100613.jpg,上部井段; 90%以上优良; 6860-6885m/7025-7065m局部差
100614.jpg,呼探1,RCB/RCD固井质量图,2980~3540,193.7,2020-11-16,1006/10061/100614.jpg,非139.7mm尾管; 193.7mm回接套管CBL; 2980-3110m较差; 3110-3540m优良
100615.jpg,呼探1,RCB/RCD固井质量图,1920~7380,177.8,2019-11-05,1006/10061/100615.jpg,非139.7mm尾管; 177.8mm套管CBL; 1920-3200m中等; 3480-7380m优良
204141.jpg,呼探1,CBL+VDL测井图,5035~5665,177.8,2020-07-23,204/2041/20414/204141.jpg,非139.7mm尾管; 177.8mm技术套管(回接)CBL
204142.jpg,呼探1,CBL+VDL测井图,待确认,177.8,待确认,204/2041/20414/204142.jpg,非139.7mm尾管(未分析)
204143.jpg,呼探1,CBL+VDL测井图,待确认,177.8,待确认,204/2041/20414/204143.jpg,非139.7mm尾管(未分析)
204241.jpg,呼探1,完井CBL图,待确认,139.7,待确认,204/2042/20424/204241.jpg,139.7mm完井CBL(未深入分析)
204242.jpg,呼探1,完井CBL图,待确认,139.7,待确认,204/2042/20424/204242.jpg,139.7mm完井CBL(未分析)
204243.jpg,呼探1,完井CBL图,待确认,139.7,待确认,204/2042/20424/204243.jpg,139.7mm完井CBL(未分析)
204341.jpg,呼探1,中完CBL图,待确认,未知,待确认,204/2043/20434/204341.jpg,"中完CBL(16MB大图, 未分析)"
