measured_depth_m,inclination_deg,azimuth_deg,source_file
5694,3.04,338.98,204111.doc
5721,3.53,8.84,204111.doc
5742,4.19,8.98,204111.doc
5763,5.61,7.81,204111.doc
5785,7.21,6.08,204111.doc
5806,7.80,4.61,204111.doc
5827,7.56,3.92,204111.doc
5849,7.27,3.08,204111.doc
5870,6.98,2.38,204111.doc
5891,6.97,3.22,204111.doc
5913,7.01,4.10,204111.doc
5934,7.09,4.73,204111.doc
5955,6.98,4.57,204111.doc
5977,7.07,5.17,204111.doc
5998,7.43,4.51,204111.doc
6019,7.19,5.07,204111.doc
6041,6.98,5.41,204111.doc
6062,6.96,6.07,204111.doc
6083,7.03,5.71,204111.doc
6105,6.89,6.42,204111.doc
6126,6.85,6.45,204111.doc
6147,6.81,6.27,204111.doc
6169,6.70,5.93,204111.doc
6190,6.63,5.87,204111.doc
6211,6.64,5.57,204111.doc
6233,6.90,4.89,204111.doc
6254,7.07,4.47,204111.doc
6275,6.77,4.33,204111.doc
6297,6.14,4.18,204111.doc
6318,5.90,4.86,204111.doc
6339,5.77,4.45,204111.doc
6361,5.64,4.89,204111.doc
6382,5.62,4.54,204111.doc
6403,5.55,4.10,204111.doc
6425,5.50,3.58,204111.doc
6446,5.50,3.70,204111.doc
6467,5.48,3.09,204111.doc
6489,5.49,1.81,204111.doc
6510,5.50,1.94,204111.doc
6531,5.60,2.21,204111.doc
6553,5.66,2.56,204111.doc
6574,5.63,2.98,204111.doc
6595,5.41,3.19,204111.doc
6617,5.27,3.25,204111.doc
6638,5.28,4.19,204111.doc
6659,5.31,4.95,204111.doc
6681,5.23,4.68,204111.doc
6702,5.26,5.24,204111.doc
6723,5.37,5.61,204111.doc
6745,5.44,5.92,204111.doc
6766,5.40,6.74,204111.doc
6787,5.30,6.97,204111.doc
6809,5.29,8.42,204111.doc
6830,5.16,9.99,204111.doc
6851,5.02,10.35,204111.doc
6873,5.03,11.84,204111.doc
6894,5.16,13.42,204111.doc
6915,5.29,12.88,204111.doc
6937,5.53,12.97,204111.doc
6958,5.75,14.03,204111.doc
6979,6.04,13.87,204111.doc
7001,6.28,14.28,204111.doc
7022,6.42,15.27,204111.doc
7043,6.55,15.39,204111.doc
7065,6.59,15.27,204111.doc
7086,6.74,15.81,204111.doc
7107,6.96,16.22,204111.doc
7129,7.03,15.15,204111.doc
7150,7.13,14.77,204111.doc
7171,7.38,14.83,204111.doc
7193,7.48,15.29,204111.doc
7214,7.64,14.82,204111.doc
7235,8.03,14.52,204111.doc
7257,8.77,14.42,204111.doc
7278,9.70,13.95,204111.doc
7300,10.42,12.71,204111.doc
7321,10.82,11.20,204111.doc
7342,10.69,9.57,204111.doc
7364,10.79,9.48,204111.doc
7385,10.49,9.09,204111.doc
7406,11.35,9.11,204111.doc
7428,12.03,6.79,204111.doc
7449,13.44,7.31,204111.doc
7470,13.78,6.24,204111.doc
7492,14.49,3.74,204111.doc
7513,14.65,358.43,204111.doc
7534,14.41,350.15,204111.doc
7556,14.71,347.15,204111.doc
7577,15.05,347.00,204111.doc
7601,15.09,346.96,204111.doc
