well_id,fluid_name,temperature_c,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,source_file,source_location,confidence,notes
hu1,领浆:隔离液:泥浆=1:1:1(柴油基泥浆),,,95,75,46.5,13,11.5,7.5,20441.doc,污染实验,high,380min/未稠
hu1,柴油基泥浆:隔离液=1:1,,,58,44,29.5,7.5,7,6,20441.doc,污染实验,high,
hu1,柴油基:隔离液=1:1(68degC),68,,28,11,6.5,3,2,1,20441.doc,污染实验(68degC),high,
hu1,领浆:隔离液:泥浆=1:1:1(白油基泥浆),,,,,261,174,26,16,20441.doc,污染实验-白油基,high,无theta_600/300读数
hu1,白油基:隔离液=1:1,,,58,44,29.5,7.5,7,6,20441.doc,污染实验,high,
hu1,白油基:隔离液=1:1(68degC),68,,90,34,14,9,4.5,4,20441.doc,污染实验(68degC),high,
hu1,领浆(1.65)密度高点1.68g/cm3,,,,,,,,,20441.doc,密度高点实验,high,稠化时间355min/70Bc
hu1,领浆(1.65)温度高点69degC,69,,,,,,,,20441.doc,温度高点实验,high,稠化时间349min/70Bc
hu1,尾浆(1.90):隔离液:白油基=1:1:1,,,,,,,,,20441.doc,混浆实验,high,280min/未稠
hu1,尾浆(1.90)密度高点1.93g/cm3,,,,,,,,,20441.doc,密度高点实验,high,稠化时间244min/70Bc
hu1,尾浆(1.90)温度高点69degC,69,,,,,,,,20441.doc,温度高点实验,high,稠化时间237min/70Bc
hu1,尾浆(1.90)静胶凝,,,,,,,,,20441.doc,静胶凝发挥时间,high,450min
