property,value,unit,source_file,notes
井号,呼探1,,10062.docx,呼探1井
井别,预探井（风险探井）,,10062.docx/100692.docx,风险探井，风险等级I级
井型,直井,,100692.docx,直井
设计井深,7280,m,100692.docx,原设计井深
实际井深,7601,m,10068.doc,2020年9月26日钻至7601.00m完钻
地面海拔,672.3,m,100692.docx,
地理位置,新疆维吾尔自治区呼图壁县境内,,10066.doc,
构造位置,准噶尔盆地南缘冲断带霍玛吐背斜带呼西背斜,,10068.doc,
井位坐标X,4887657.40,m,10066.doc,
井位坐标Y,15480116.00,m,10066.doc,
钻探目的,寻求南缘霍玛吐构造带下组合勘探突破，主探侏罗系喀拉扎组（J3k）、白垩系清水河组（K1q），兼探白垩系胜金口组（K1s）,,100692.docx,
完钻层位,J3q,,100692.docx,侏罗系齐古组
开钻日期,2019-05-15,,100694.xlsx,
完钻日期,2020-09-26,,10068.doc,
完井日期,2020-11-17,,10068.doc,测声幅完井
钻井周期,552,天,10068.doc,全井历时552天
钻井队,90001/ZJ90,,100694.xlsx,
139.7mm油层尾管完钻井深,7601,m,204151.doc,五开完钻井深
139.7mm尾管下深,7600.50,m,10068.doc/10066.doc,
139.7mm尾管悬挂器实际位置,3532.21,m,10068.doc,实际悬挂器位置
139.7mm尾管悬挂器设计位置,3523.27,m,204111.doc,设计悬挂器位置
193.7mm回接套管下深,3535.57,m,10068.doc,回接至3535.57m
139.7mm水泥返高,3520,m,10068.doc,水泥返至3520m
139.7mm固井质量,合格,,10068.doc,完井固井质量合格
139.7mm尾管段长,4064.93,m,10066.doc,3535.57-7600.50m
完井方式,固井射孔完井,,100692.docx,
井底温度设计,167,℃,10062.docx,2.09℃/100m
井底温度实测,153.8,℃,100611.jpg,CBL测井时井底温度
五开钻井液类型,油基钻井液,,204111.doc,密度2.00-2.12 g/cm3
五开钻井液密度,2.12,g/cm3,204111.doc,固井前钻井液密度
五开钻井液粘度,76,s,204151.doc,
套管规格上部,139.7mm x TP140V x 14.27mm x TP-CQ,,204111.doc,5300-7601m
套管规格下部,139.7mm x TP140V x 12.09mm x TP-CQ,,204111.doc,3523-5300m
额定抗内压,158,MPa,204111.doc,
额定抗挤,17040,N.m,10064.doc,最上扣扭矩
悬挂器类型,273.1mm x 193.7mm 尾管悬挂器,,10064.doc,额定载荷1550kN
回接筒外径,225,mm,10064.doc,
固井日期,2020-10-25,,204151.doc,
